Round,Date,Day,Time,GameTimePK,Statement
1,26/04/2019,Fri,18:00,r1_fri_20190426_1800,"r1_fri_20190426_1800 = GameTime(round= 1, when=datetime(year=2019, month=4, day=26, hour=18, minute=0))"
1,26/04/2019,Fri,19:30,r1_fri_20190426_1930,"r1_fri_20190426_1930 = GameTime(round= 1, when=datetime(year=2019, month=4, day=26, hour=19, minute=30))"
1,27/04/2019,Sat,08:30,r1_sat_20190427_0830,"r1_sat_20190427_0830 = GameTime(round= 1, when=datetime(year=2019, month=4, day=27, hour=8, minute=30))"
1,27/04/2019,Sat,10:00,r1_sat_20190427_1000,"r1_sat_20190427_1000 = GameTime(round= 1, when=datetime(year=2019, month=4, day=27, hour=10, minute=0))"
1,27/04/2019,Sat,11:30,r1_sat_20190427_1130,"r1_sat_20190427_1130 = GameTime(round= 1, when=datetime(year=2019, month=4, day=27, hour=11, minute=30))"
1,27/04/2019,Sat,13:00,r1_sat_20190427_1300,"r1_sat_20190427_1300 = GameTime(round= 1, when=datetime(year=2019, month=4, day=27, hour=13, minute=0))"
1,27/04/2019,Sat,15:00,r1_sat_20190427_1500,"r1_sat_20190427_1500 = GameTime(round= 1, when=datetime(year=2019, month=4, day=27, hour=15, minute=0))"
1,27/04/2019,Sat,17:00,r1_sat_20190427_1700,"r1_sat_20190427_1700 = GameTime(round= 1, when=datetime(year=2019, month=4, day=27, hour=17, minute=0))"
1,27/04/2019,Sat,19:00,r1_sat_20190427_1900,"r1_sat_20190427_1900 = GameTime(round= 1, when=datetime(year=2019, month=4, day=27, hour=19, minute=0))"
1,28/04/2019,Sun,08:30,r1_sun_20190428_0830,"r1_sun_20190428_0830 = GameTime(round= 1, when=datetime(year=2019, month=4, day=28, hour=8, minute=30))"
1,28/04/2019,Sun,10:00,r1_sun_20190428_1000,"r1_sun_20190428_1000 = GameTime(round= 1, when=datetime(year=2019, month=4, day=28, hour=10, minute=0))"
1,28/04/2019,Sun,11:30,r1_sun_20190428_1130,"r1_sun_20190428_1130 = GameTime(round= 1, when=datetime(year=2019, month=4, day=28, hour=11, minute=30))"
1,28/04/2019,Sun,13:00,r1_sun_20190428_1300,"r1_sun_20190428_1300 = GameTime(round= 1, when=datetime(year=2019, month=4, day=28, hour=13, minute=0))"
1,28/04/2019,Sun,15:00,r1_sun_20190428_1500,"r1_sun_20190428_1500 = GameTime(round= 1, when=datetime(year=2019, month=4, day=28, hour=15, minute=0))"
2,03/05/2019,Fri,18:00,r2_fri_20190503_1800,"r2_fri_20190503_1800 = GameTime(round= 2, when=datetime(year=2019, month=5, day=3, hour=18, minute=0))"
2,03/05/2019,Fri,19:30,r2_fri_20190503_1930,"r2_fri_20190503_1930 = GameTime(round= 2, when=datetime(year=2019, month=5, day=3, hour=19, minute=30))"
2,04/05/2019,Sat,08:30,r2_sat_20190504_0830,"r2_sat_20190504_0830 = GameTime(round= 2, when=datetime(year=2019, month=5, day=4, hour=8, minute=30))"
2,04/05/2019,Sat,10:00,r2_sat_20190504_1000,"r2_sat_20190504_1000 = GameTime(round= 2, when=datetime(year=2019, month=5, day=4, hour=10, minute=0))"
2,04/05/2019,Sat,11:30,r2_sat_20190504_1130,"r2_sat_20190504_1130 = GameTime(round= 2, when=datetime(year=2019, month=5, day=4, hour=11, minute=30))"
2,04/05/2019,Sat,13:00,r2_sat_20190504_1300,"r2_sat_20190504_1300 = GameTime(round= 2, when=datetime(year=2019, month=5, day=4, hour=13, minute=0))"
2,04/05/2019,Sat,15:00,r2_sat_20190504_1500,"r2_sat_20190504_1500 = GameTime(round= 2, when=datetime(year=2019, month=5, day=4, hour=15, minute=0))"
2,04/05/2019,Sat,17:00,r2_sat_20190504_1700,"r2_sat_20190504_1700 = GameTime(round= 2, when=datetime(year=2019, month=5, day=4, hour=17, minute=0))"
2,04/05/2019,Sat,19:00,r2_sat_20190504_1900,"r2_sat_20190504_1900 = GameTime(round= 2, when=datetime(year=2019, month=5, day=4, hour=19, minute=0))"
2,05/05/2019,Sun,08:30,r2_sun_20190505_0830,"r2_sun_20190505_0830 = GameTime(round= 2, when=datetime(year=2019, month=5, day=5, hour=8, minute=30))"
2,05/05/2019,Sun,10:00,r2_sun_20190505_1000,"r2_sun_20190505_1000 = GameTime(round= 2, when=datetime(year=2019, month=5, day=5, hour=10, minute=0))"
2,05/05/2019,Sun,11:30,r2_sun_20190505_1130,"r2_sun_20190505_1130 = GameTime(round= 2, when=datetime(year=2019, month=5, day=5, hour=11, minute=30))"
2,05/05/2019,Sun,13:00,r2_sun_20190505_1300,"r2_sun_20190505_1300 = GameTime(round= 2, when=datetime(year=2019, month=5, day=5, hour=13, minute=0))"
2,05/05/2019,Sun,15:00,r2_sun_20190505_1500,"r2_sun_20190505_1500 = GameTime(round= 2, when=datetime(year=2019, month=5, day=5, hour=15, minute=0))"
3,10/05/2019,Fri,18:00,r3_fri_20190510_1800,"r3_fri_20190510_1800 = GameTime(round= 3, when=datetime(year=2019, month=5, day=10, hour=18, minute=0))"
3,10/05/2019,Fri,19:30,r3_fri_20190510_1930,"r3_fri_20190510_1930 = GameTime(round= 3, when=datetime(year=2019, month=5, day=10, hour=19, minute=30))"
3,11/05/2019,Sat,08:30,r3_sat_20190511_0830,"r3_sat_20190511_0830 = GameTime(round= 3, when=datetime(year=2019, month=5, day=11, hour=8, minute=30))"
3,11/05/2019,Sat,10:00,r3_sat_20190511_1000,"r3_sat_20190511_1000 = GameTime(round= 3, when=datetime(year=2019, month=5, day=11, hour=10, minute=0))"
