ClubName,TeamName,TeamPK,ClubPK
Applecross Mount Pleasant JFC,Applecross East Fremantle JFC Yr 10,applecross_east_fremantle_jfc_yr_10,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 3 Brown,applecross_mount_pleasant_jfc_yr_3_brown,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 3 Gold,applecross_mount_pleasant_jfc_yr_3_gold,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 4 Brown,applecross_mount_pleasant_jfc_yr_4_brown,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 4 Gold,applecross_mount_pleasant_jfc_yr_4_gold,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 5 Brown,applecross_mount_pleasant_jfc_yr_5_brown,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 5 Gold,applecross_mount_pleasant_jfc_yr_5_gold,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 6 Brown,applecross_mount_pleasant_jfc_yr_6_brown,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 6 Gold,applecross_mount_pleasant_jfc_yr_6_gold,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 7,applecross_mount_pleasant_jfc_yr_7,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 8,applecross_mount_pleasant_jfc_yr_8,1~applecross_mount_pleasant_jfc
Applecross Mount Pleasant JFC,Applecross Mount Pleasant JFC Yr 9,applecross_mount_pleasant_jfc_yr_9,1~applecross_mount_pleasant_jfc
Armadale JFC,Armadale JFC Pups WHITE,armadale_jfc_pups_white,3~armadale_jfc
Armadale JFC,Armadale JFC Year 11s WHITE,armadale_jfc_year_11s_white,3~armadale_jfc
Armadale JFC,Armadale JFC Year 4s WHITE,armadale_jfc_year_4s_white,3~armadale_jfc
