VenueName,VenuePK,Capacity
Gairloch Reserve,gairloch_reserve,2
Shirley Strickland Reserve,shirley_strickland_reserve,2
Gwynne Park,gwynne_park,4
Troy Park,troy_park,2
Meller Park,meller_park,2
Karoonda Reserve,karoonda_reserve,3
Beasley Reserve,beasley_reserve,2
Peter Ellis Park,peter_ellis_park,2
Canning Vale Primary School,canning_vale_primary_school,1
Clifton Park,clifton_park,2
Ranford Primary School,ranford_primary_school,1
Davilak Reserve,davilak_reserve,2
Henry Jeffery Oval,henry_jeffery_oval,2
Dick Lawrence Oval Hilton Park Reserve,dick_lawrence_oval_hilton_park_reserve,2
Botany Park Sports Pavillon,botany_park_sports_pavillon,2
Atwell Reserve,atwell_reserve,4
Alan Edwards Park,alan_edwards_park,2
Morris Buzacott Reserve,morris_buzacott_reserve,3
Creyk Park,creyk_park,2
John Dunn Memorial Oval,john_dunn_memorial_oval,2
Orelia District Sporting Complex High,orelia_district_sporting_complex_high,2
Orelia District Sporting Complex Low,orelia_district_sporting_complex_low,2
Wellard Oval Eton Green,wellard_oval_eton_green,2
Marmion Reserve,marmion_reserve,2
Briggs Park,briggs_park,2
Mundijong Oval,mundijong_oval,2
Melville Reserve Stock Road,melville_reserve_stock_road,2
Piara Waters Pavillion Oval,piara_waters_pavillion_oval,2
Riverton Reserve,riverton_reserve,2
Springdale Park,springdale_park,2
Shelley Oval,shelley_oval,2
Prendwick Reserve,prendwick_reserve,2
Santich Park,santich_park,3
Burrendah Reserve,burrendah_reserve,2
Winnacott Reserve,winnacott_reserve,3
